title,authors,venue,year
Optimized Query Execution in Large Search Engines with Global Page Ordering,"Torsten Suel, Xiaohui Long",VLDB,2003
Query Optimization at the Crossroads (Panel),Surajit Chaudhuri,SIGMOD Conference,1997
STRUDEL: A Web-site Management System,"Alon Y. Levy, Mary F. Fernandez, Jaewoo Kang, Daniela Florescu, Dan Suciu",SIGMOD Conference,1997
Chair's Message,M. Tamer Özsu,SIGMOD Record,2003
On Supporting Containment Queries in Relational Database Management Systems,"Guy M. Lohman, David J. DeWitt, Qiong Luo, Jeffrey F. Naughton, Chun Zhang",SIGMOD Conference,2001
The p Operator: Discovering and Ranking Associations on the Semantic Web,"Kemafor Anyanwu, Amit P. Sheth",SIGMOD Record,2002
Repositories and Object Oriented Databases,Philip A. Bernstein,SIGMOD Record,1998
Editor's Notes,Ling Liu,SIGMOD Record,2002
GTE SuperPages: Using IR Techniques for Searching Complex Objects,"Steven D. Whitehead, Himanshu Sinha, Michael Murphy",VLDB,1997
A Data Model and Data Structures for Moving Objects Databases,"Markus Schneider, Enrico Nardelli, Luca Forlizzi, Ralf Hartmut Güting",SIGMOD Conference,2000
Middle East Technical University Software Research and Development Center,Asuman Dogac,SIGMOD Record,1996
The Handwritten Trie: Indexing Electronic Ink,"Padmavathi Vallabhaneni, Daniel Barbará, Walid G. Aref",SIGMOD Conference,1995
Research Issues in Federated Database Systems: Report of EFDBS '97 Workshop,"Fèlix Saltor, Mark Roantree, Mark W. W. Vermeer, Wilhelm Hasselbring, Martin Schönhoff, Markus Strässler, Barry Eaglestone, Stefan Conrad",SIGMOD Record,1997
Dynamic multidimensional histograms,"Piotr Indyk, Sudipto Guha, Nitin Thaper, Nick Koudas",SIGMOD Conference,2002
Inverted Files Versus Signature Files for Text Indexing,"Kotagiri Ramamohanarao, Justin Zobel, Alistair Moffat",ACM Trans. Database Syst.,1998
Aggregation Algorithms for Very Large Compressed Data Warehouses,"Jaideep Srivastava, Jianzhong Li, Doron Rotem",VLDB,1999
Delivering Presentations from Multimedia Servers,"Nevzat Hurkan Balkir, Gultekin Özsoyoglu",VLDB J.,1998
Automated Resolution of Semantic Heterogeneity in Multidatabases,"A. R. Hurson, Simin H. Pakzad, M. W. Bright",ACM Trans. Database Syst.,1994
Chair's Message,M. Tamer Özsu,SIGMOD Record,2001
Book Review Column,Karl Aberer,SIGMOD Record,2002
The Design and Performance Evaluation of Alternative XML Storage Strategies,"David J. DeWitt, Jianjun Chen, Chun Zhang, Feng Tian",SIGMOD Record,2002
Containment of Conjunctive Queries: Beyond Relations as Sets,"Raghu Ramakrishnan, Yannis E. Ioannidis",ACM Trans. Database Syst.,1995
From the Guest Editors - Special Section on Data Management Issues in Mobile Computing,"Margaret H. Dunham, Abdelsalam Helal",SIGMOD Record,1995
A One-Pass Aggregation Algorithm with the Optimal Buffer Size in Multidimensional OLAP,"Yang-Sae Moon, Young-Koo Lee, Il-Yeol Song, Kyu-Young Whang",VLDB,2002
Turbo-charging Vertical Mining of Large Databases,"Jayant R. Haritsa, Devavrat Shah, S. Sudarshan, Pradeep Shenoy, Mayank Bawa, Gaurav Bhalotia",SIGMOD Conference,2000
PREDATOR: An OR-DBMS with Enhanced Data Types,"Praveen Seshadri, Mark Paskin",SIGMOD Conference,1997
Exploiting Main Memory DBMS Features to Improve Real-Time Concurrency Control Protocols,"Özgür Ulusoy, Alejandro P. Buchmann",SIGMOD Record,1996
Approximate Query Processing: Taming the TeraBytes,"Minos N. Garofalakis, Phillip B. Gibbons",VLDB,2001
Querying Multi-dimensional Data Indexed Using the Hilbert Space-filling Curve,"Peter J. H. King, Jonathan K. Lawder",SIGMOD Record,2001
Theory of Answering Queries Using Views,Alon Y. Halevy,SIGMOD Record,2000
GridDB: A Database Interface to the Grid,"David T. Liu, Devesh Parekh, Michael J. Franklin",SIGMOD Conference,2003
Controlling Access to Published Data Using Cryptography,"Gerome Miklau, Dan Suciu",VLDB,2003
Approximate query processing using wavelets,"Rajeev Rastogi, Minos N. Garofalakis, Kyuseok Shim, Kaushik Chakrabarti",VLDB J.,2001
Minimal probing: supporting expensive predicates for top-k queries,"Kevin Chen-Chuan Chang, Seung-won Hwang",SIGMOD Conference,2002
"Advanced Data Processing in KRISYS: Modeling Concepts, Implementation Techniques, and Client/Server Issues","Nelson Mendonça Mattos, Joachim Thomas, Theo Härder, Stefan Deßloch, Bernhard Mitschang",VLDB J.,1998
Letter to SIGMOD Record Editor,Nazih Elderini,SIGMOD Record,2002
Progress on HPCC and NII,Marianne Winslett,SIGMOD Record,1994
An Aspect of Query Optimization in Multidatabase Systems (Extended Abstract),"Chiang Lee, Hongjun Lu, Chia-Jung Chen",SIGMOD Record,1995
Novel Approaches in Query Processing for Moving Object Trajectories,"Yannis Theodoridis, Dieter Pfoser, Christian S. Jensen",VLDB,2000
Microsoft English Query 7.5: Automatic Extraction of Semantics from Relational Databases and OLAP Cubes,Adam Blum,VLDB,1999
Reminiscences on Influential Papers,"Kenneth A. Ross, Anastassia Ailamaki, Alfred V. Aho",SIGMOD Record,2002
Rate-based query optimization for streaming information sources,"Jeffrey F. Naughton, Stratis Viglas",SIGMOD Conference,2002
EMC Information Sharing: Direct Access to MVS Data from Unix and NT,Walt Kohler,SIGMOD Conference,1999
Selectivity Estimation in Extensible Databases - A Neural Network Approach,"Shaoyu Zhou, M. Seetha Lakshmi",VLDB,1998
Data Warehousing and Business Intelligence for E-Commerce - Book Review,Frank G. Goethals,SIGMOD Record,2002
Selectivity Estimation using Probabilistic Models,"Daphne Koller, Lise Getoor, Benjamin Taskar",SIGMOD Conference,2001
Bridging Heterogeneity: Research and Practice of Database Middleware Technology,"Günter Sauter, Fernando de Ferreira Rezende",VLDB,1998
"What Do Those Weird XML Types Want, Anyway?",Steven J. DeRose,VLDB,1999
Report on the 4th International Conference on Mobile Data Management,"Panos K. Chrysanthis, Arkady B. Zaslavsky, Morris Sloman",SIGMOD Record,2003
A Prototype Content-Based Retrieval System that Uses Virtual Images to Save Space,"Leonard Brown, Le Gruenwald",VLDB,2001
Warehousing Workflow Data: Challenges and Opportunities,"Umeshwar Dayal, Ming-Chien Shan, Angela Bonifati, Fabio Casati",VLDB,2001
Declustering Databases on Heterogeneous Disk Systems,"Doron Rotem, Sridhar Seshadri, Ling Tony Chen",VLDB,1995
Toward Learning Based Web Query Processing,"Yanlei Diao, Hongjun Lu, Zengping Tian, Songting Chen",VLDB,2000
Information Finding in a Digital Library: The Stanford Perspective,"Tak W. Yan, Hector Garcia-Molina",SIGMOD Record,1995
Fast Image Retrieval Using Color-Spatial Information,"Kian-Lee Tan, Tat-Seng Chua, Beng Chin Ooi, Wynne Hsu",VLDB J.,1998
Delivering High Availability for Inktomi Search Engines,Eric A. Brewer,SIGMOD Conference,1998
The Araneus Web-Base Management System,"Giansalvatore Mecca, Paolo Merialdo, Alessandro Masci, Paolo Atzeni, Giuseppe Sindoni",SIGMOD Conference,1998
CURE: An Efficient Clustering Algorithm for Large Databases,"Sudipto Guha, Rajeev Rastogi, Kyuseok Shim",SIGMOD Conference,1998
Algorithms for Materialized View Design in Data Warehousing Environment,"Kamalakar Karlapalem, Jian Yang, Qing Li",VLDB,1997
Enhanced Hypertext Categorization Using Hyperlinks,"Byron Dom, Piotr Indyk, Soumen Chakrabarti",SIGMOD Conference,1998
LORE: A Lightweight Object REpository for Semistructured Data,"Janet L. Wiener, Jason McHugh, Serge Abiteboul, Qingshan Luo, Anand Rajaraman, Dallan Quass, Jeffrey D. Ullman, Roy Goldman, Hugo Rivero, Jennifer Widom, Svetlozar Nestorov, Kevin Haas",SIGMOD Conference,1996
VQBD: Exploring Semistructured Data,"Jihwang Yeo, Sudarshan S. Chawathe, Thomas Baby",SIGMOD Conference,2001
The Grid: An Application of the Semantic Web,"Carole A. Goble, David De Roure",SIGMOD Record,2002
Grid and Applications (Industrial Session),Frank Leymann,VLDB,2003
"i3: Intelligent, Interactive Investigaton of OLAP data cubes","Sunita Sarawagi, Gayatri Sathe",SIGMOD Conference,2000
Algebraic Change Propagation for Semijoin and Outerjoin Queries,"Timothy Griffin, Bharat Kumar",SIGMOD Record,1998
Checking the Temporal Integrity of Interactive Multimedia Documents,"S. Tserkezoglou, Timos K. Sellis, Barbara Pernici, Michalis Vazirgiannis, Isabelle Mirbel",VLDB J.,2000
Efficient filtering of XML documents with XPath expressions,"Rajeev Rastogi, Pascal Felber, Chee Yong Chan, Minos N. Garofalakis",VLDB J.,2002
"Of Crawlers, Portals, Mice and Men: Is there more to Mining the Web? (Panel)","Kyuseok Shim, Rajeev Rastogi, Minos N. Garofalakis, Sridhar Ramaswamy",SIGMOD Conference,1999
Design and User Testing of a Multi-Paradigm Query Interface to an Object-Oriented Database,"Dac Khoa Doan, Alistair C. Kilgour, Norman W. Paton",SIGMOD Record,1995
Efficient Checking of Temporal Integrity Constraints Using Bounded History Encoding,Jan Chomicki,ACM Trans. Database Syst.,1995
What Is the Nearest Neighbor in High Dimensional Spaces?,"Charu C. Aggarwal, Alexander Hinneburg, Daniel A. Keim",VLDB,2000
DTL's DataSpot: Database Exploration as Easy as Browsing the Web,"Gadi Entin, Shai Geva, Eran Palmon, Shaul Dar",SIGMOD Conference,1998
3D Geographic Network Displays,"Taosong He, Stephen G. Eick, Kenneth C. Cox",SIGMOD Record,1996
"Data-Driven, One-To-One Web Site Generation for Data-Intensive Applications","Stefano Paraboschi, Piero Fraternali, Stefano Ceri",VLDB,1999
Processing Star Queries on Hierarchically-Clustered Fact Tables,"Nikos Karayannidis, Frank Ramsak, Timos K. Sellis, Rudolf Bayer, Robert Fenk, Klaus Elhardt, Volker Markl, Roland Pieringer, Aris Tsois",VLDB,2002
Winnowing: Local Algorithms for Document Fingerprinting,"Alexander Aiken, Daniel Shawcross Wilkerson, Saul Schleimer",SIGMOD Conference,2003
Access Path Support for Referential Integrity in SQL2,"Joachim Reinert, Theo Härder",VLDB J.,1996
Enhanced Nearest Neighbour Search on the R-tree,"Ada Wai-Chee Fu, King Lum Cheung",SIGMOD Record,1998
EOS: An Extensible Object Store,"Euthimios Panagos, Alexandros Biliris",SIGMOD Conference,1994
SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Fereidoon Sadri, Laks V. S. Lakshmanan, Iyer N. Subramanian",VLDB,1996
Reconciling Schemas of Disparate Data Sources: A Machine-Learning Approach,"AnHai Doan, Pedro Domingos, Alon Y. Halevy",SIGMOD Conference,2001
Optimal Clip Ordering for Multi-Clip Queries,"Raymond T. Ng, Paul Shum",VLDB J.,1998
Process Automation as the Foundation for E-Business,"Fabio Casati, Ming-Chien Shan",VLDB,2000
Research Issues in Active Database Systems: Report from the Closing Panel at RIDE-ADS '94,Jennifer Widom,SIGMOD Record,1994
ACM TODS in this Internet Age,Richard T. Snodgrass,SIGMOD Record,2003
Algorithms for Querying by Spatial Structure,"Nikos Mamoulis, Dimitris Papadias, Vasilis Delis",VLDB,1998
Query by Diagram: A Graphical Environment for Querying Databases,"Giuseppe Santucci, Tiziana Catarci",SIGMOD Conference,1994
User-Defined Table Operators: Enhancing Extensibility for ORDBMS,"Bernhard Mitschang, Michael Jaedicke",VLDB,1999
Guest Editor's Introduction,Asuman Dogac,SIGMOD Record,2002
XRANK: Ranked Keyword Search over XML Documents,"Feng Shao, Lin Guo, Chavdar Botev, Jayavel Shanmugasundaram",SIGMOD Conference,2003
Chair's Message,Richard T. Snodgrass,SIGMOD Record,1998
Infering Structure in Semistructured Data,"Rajeev Motwani, Serge Abiteboul, Svetlozar Nestorov",SIGMOD Record,1997
Efficacious Data Cube Exploration by Semantic Summarization and Compression,"Jian Pei, Laks V. S. Lakshmanan, Yan Zhao",VLDB,2003
High-Performance Sorting on Networks of Workstations,"David E. Culler, Joseph M. Hellerstein, David A. Patterson, Andrea C. Arpaci-Dusseau, Remzi H. Arpaci-Dusseau",SIGMOD Conference,1997
Transactional Information Systems - Book Review,Marc H. Scholl,SIGMOD Record,2001
Polymorphism and Type Inference in Database Programming,"Atsushi Ohori, Peter Buneman",ACM Trans. Database Syst.,1996
An Effective Deductive Object-Oriented Database Through Language Integration,"M. Howard Williams, Norman W. Paton, Andrew Dinn, Maria L. Barja, Alvaro A. A. Fernandes",VLDB,1994
Cache Conscious Indexing for Decision-Support in Main Memory,"Kenneth A. Ross, Jun Rao",VLDB,1999
Analyzing Quantitative Databases: Image is Everything,"Reuven Kashi, Nathan S. Netanyahu, Amihood Amir",VLDB,2001
DBCache: database caching for web application servers,"Sailesh Krishnamurthy, C. Mohan, Larry Brown, Hamid Pirahesh, Mehmet Altinel, Honguk Woo, Qiong Luo, Bruce G. Lindsay",SIGMOD Conference,2002
Iterative dynamic programming: a new class of query optimization algorithms,"Donald Kossmann, Konrad Stocker",ACM Trans. Database Syst.,2000
High-Concurrency Locking in R-Trees,"Douglas Banks, Marcel Kornacker",VLDB,1995
Electronic Commerce: Tutorial,"Nabil R. Adam, Yelena Yesha",SIGMOD Conference,1998
Spatial and Temporal Content-Based Access to Hypervideo Databases,"Ahmed K. Elmagarmid, Haitao Jiang",VLDB J.,1998
Distributed Processing over Stand-alone Systems and Applications,"Claus Hagen, Hans-Jörg Schek, Gustavo Alonso, Markus Tresch",VLDB,1997
Synchronizing a Database to Improve Freshness,"Junghoo Cho, Hector Garcia-Molina",SIGMOD Conference,2000
The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept,Henry F. Korth,VLDB,1995
Density Biased Sampling: An Improved Method for Data Mining and Clustering,"Christopher R. Palmer, Christos Faloutsos",SIGMOD Conference,2000
The TSQL2 Final Language Definition Announcement,?,SIGMOD Record,1994
Efficient Progressive Skyline Computation,"Pin-Kwang Eng, Kian-Lee Tan, Beng Chin Ooi",VLDB,2001
MPEG-7 and Multimedia Database Systems,Harald Kosch,SIGMOD Record,2002
Storage and Querying of E-Commerce Data,"Yirong Xu, Rakesh Agrawal, Amit Somani",VLDB,2001
DynaMat: A Dynamic View Management System for Data Warehouses,"Nick Roussopoulos, Yannis Kotidis",SIGMOD Conference,1999
How to Summarize the Universe: Dynamic Maintenance of Quantiles,"Martin Strauss, S. Muthukrishnan, Yannis Kotidis, Anna C. Gilbert",VLDB,2002
Parameterized Complexity for the Database Theorist,Martin Grohe,SIGMOD Record,2002
Editor's Notes,Michael J. Franklin,SIGMOD Record,2000
Formal semantics and analysis of object queries,Gavin M. Bierman,SIGMOD Conference,2003
METU Object-Oriented DBMS,"Cetin Ozkan, Cem Evrendilek, Yuksel Saygin, Ilker Altintas, Ismailcem Budak Arpinar, Mehmet Altinel, Tansel Okay, Ilker Durusoy, Asuman Dogac",SIGMOD Conference,1994
Orthogonally Persistent Object Systems,"Malcolm P. Atkinson, Ronald Morrison",VLDB J.,1995
Concurrent Garbage Collection in O2,"Marcin Skubiszewski, Patrick Valduriez",VLDB,1997
"Constructing and integrating data-centric Web Applications: Methods, Tools, and Techniques","Ioana Manolescu, Stefano Ceri",VLDB,2003
Guest Editor's Introduction,"Robert Meersman, Amit P. Sheth",SIGMOD Record,2002
DTL's DataSpot: Database Exploration Using Plain Language,"Gadi Entin, Shai Geva, Shaul Dar, Eran Palmon",VLDB,1998
Editor's Notes,Michael J. Franklin,SIGMOD Record,1998
Applying Database Technology in the ADSM Mass Storage System,"Robert Rees, Luis-Felipe Cabrera, Wayne Hineman",VLDB,1995
Dynamic Buffer Allocation in Video-on-Demand Systems,"Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song, Sang Ho Lee",SIGMOD Conference,2001
Holistic Twig Joins on Indexed XML Documents,"Wei Wang, Haifeng Jiang, Hongjun Lu, Jeffrey Xu Yu",VLDB,2003
Obtaining Complete Answers from Incomplete Databases,Alon Y. Levy,VLDB,1996
Incremental Maintenance of Externally Materialized Views,"Martin Staudt, Matthias Jarke",VLDB,1996
Databases for GIS,"Claudia Bauzer Medeiros, Fatima Pires",SIGMOD Record,1994
Query Optimization in the Presence of Limited Access Patterns,"Dan Suciu, Ioana Manolescu, Daniela Florescu, Alon Y. Levy",SIGMOD Conference,1999
An Effective Hash Based Algorithm for Mining Association Rules,"Ming-Syan Chen, Philip S. Yu, Jong Soo Park",SIGMOD Conference,1995
A Dependability Benchmark for OLTP Application Environments,"Henrique Madeira, Marco Vieira",VLDB,2003
High Speed On-line Backup When Using Logical Log Operations,David B. Lomet,SIGMOD Conference,2000
Towards On-Line Analytical Mining in Large Databases,Jiawei Han,SIGMOD Record,1998
Facilitating Multimedia Database Exploration through Visual Interfaces and Perpetual Query Reformulations,"Kyoji Hirata, Yoshinori Hara, Wen-Syan Li, K. Selçuk Candan",VLDB,1997
"The Glue-Nail Deductive Database System: Design, Implementation, and Evaluation","Geoffrey Phipps, Marcia A. Derr, Shinichi Morishita",VLDB J.,1994
Cubetree: Organization of and Bulk Updates on the Data Cube,"Nick Roussopoulos, Mema Roussopoulos, Yannis Kotidis",SIGMOD Conference,1997
Interview with Avi Silberschatz,Marianne Winslett,SIGMOD Record,2002
Database Research at the University of Illinois at Urbana-Champaign,"ChengXiang Zhai, Marianne Winslett, Yuanyuan Zhou, Kevin Chen-Chuan Chang, Jiawei Han, AnHai Doan",SIGMOD Record,2002
SQL Open Heterogeneous Data Access,"Berthold Reinwald, Hamid Pirahesh",SIGMOD Conference,1998
Report on the 18th British National Conference on Databases (BNCOD),"Carole A. Goble, Brian J. Read",SIGMOD Record,2002
Materialized View Selection for Multidimensional Datasets,"Jeffrey F. Naughton, Amit Shukla, Prasad Deshpande",VLDB,1998
HMAP - A temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,"Carlo Combi, Giuseppe Pozzi",VLDB J.,2001
"TOPAZ: a Cost-Based, Rule-Driven, Multi-Phase Parallelizer","Bernhard Mitschang, Clara Nippl",VLDB,1998
A Sequential Pattern Query Language for Supporting Instant Data Mining for e-Services,"Reza Sadri, Amir M. Zarkesh, Jafar Adibi, Carlo Zaniolo",VLDB,2001
COMBI-Operator: Database Support for Data Mining Applications,"Wolfgang Lehner, Alexander Hinneburg, Dirk Habich",VLDB,2003
The Semantic Web: Semantics for Data on the Web,"Vipul Kashyap, Stefan Decker",VLDB,2003
Managing Video Data in a Mobile Environment,"Rafael Alonso, Yuh-Lin Chang, V. S. Mani, Liviu Iftode",SIGMOD Record,1995
